"C_pellucida_6055_A","C_pellucida_6055_B","joint_prob","locus"
"6055_copy1","6055_copy1",0,"APP"
"6055_copy2","6055_copy1",0.503391645840771,"APP"
"6055_copy1","6055_copy2",0.496608354159229,"APP"
"6055_copy2","6055_copy2",0,"APP"
"6055_copy1","6055_copy1",0,"GAP"
"6055_copy2","6055_copy1",0.492324169939307,"GAP"
"6055_copy1","6055_copy2",0.507675830060693,"GAP"
"6055_copy2","6055_copy2",0,"GAP"
"6055_copy1","6055_copy1",0,"IBR"
"6055_copy2","6055_copy1",0.503034630489111,"IBR"
"6055_copy1","6055_copy2",0.496965369510889,"IBR"
"6055_copy2","6055_copy2",0,"IBR"
"6055_copy1","6055_copy1",0,"PGI"
"6055_copy2","6055_copy1",0.50017850767583,"PGI"
"6055_copy1","6055_copy2",0.49982149232417,"PGI"
"6055_copy2","6055_copy2",0,"PGI"
