"G_oyamense_sp2_8739_A","G_oyamense_sp2_8739_B","joint_prob","locus"
"8739_copy1","8739_copy1",0,"APP"
"8739_copy2","8739_copy1",0.451624419850054,"APP"
"8739_copy1","8739_copy2",0.548375580149946,"APP"
"8739_copy2","8739_copy2",0,"APP"
"8739_copy1","8739_copy1",0,"GAP"
"8739_copy2","8739_copy1",0.455908604069975,"GAP"
"8739_copy1","8739_copy2",0.544091395930025,"GAP"
"8739_copy2","8739_copy2",0,"GAP"
"8739_copy1","8739_copy1",0,"IBR"
"8739_copy2","8739_copy1",0.497322384862549,"IBR"
"8739_copy1","8739_copy2",0.502677615137451,"IBR"
"8739_copy2","8739_copy2",0,"IBR"
"8739_copy1","8739_copy1",0,"PGI"
"8739_copy2","8739_copy1",0.517672259907176,"PGI"
"8739_copy1","8739_copy2",0.482327740092824,"PGI"
"8739_copy2","8739_copy2",0,"PGI"
