"G_disjunctum_7751_A","G_disjunctum_7751_B","joint_prob","locus"
"7751_BLANK","7751_BLANK",0,"APP"
"7751_copy1","7751_BLANK",0.728668332738308,"APP"
"7751_BLANK","7751_copy1",0.271331667261692,"APP"
"7751_copy1","7751_copy1",0,"APP"
"7751_copy1","7751_copy1",0,"GAP"
"7751_copy2","7751_copy1",0.738664762584791,"GAP"
"7751_copy1","7751_copy2",0.261335237415209,"GAP"
"7751_copy2","7751_copy2",0,"GAP"
"7751_copy1","7751_copy2",1,"IBR"
"7751_BLANK","7751_BLANK",0,"PGI"
"7751_copy1","7751_BLANK",0.152445555158872,"PGI"
"7751_BLANK","7751_copy1",0.847554444841128,"PGI"
"7751_copy1","7751_copy1",0,"PGI"
